text,intent,language
jak zabezpieczyć sieć wifi,network_security,pl
chcę ochrony mojej sieci,network_security,pl
jak chronić router,network_security,pl
potrzebuję zabezpieczyć wifi,network_security,pl
zabezpieczenie sieci domowej,network_security,pl
firewall na router,network_security,pl
jak chronić sieć wifi,network_security,pl
jak uchronić sieć domową,network_security,pl
ochrona sieci bezprzewodowej,network_security,pl
program do zabezpieczenia routera,network_security,pl
zabezpieczenie mojego wifi,network_security,pl
router security,network_security,pl
jak skonfigurować firewall,network_security,pl
firewall na domowy router,network_security,pl
jak zabezpieczyć sieć w firmie,network_security,pl
wzmocnienie sieci wifi,network_security,pl
jak ochronić moje wifi,network_security,pl
zabezpieczenia sieciowe,network_security,pl
router protection,network_security,pl
sieć wifi nie jest bezpieczna,network_security,pl
how can I secure my router,network_security,en
how can I protect my wifi network,network_security,en
I need network protection,network_security,en
how do I secure my wifi,network_security,en
I want to protect my router,network_security,en
secure my home network,network_security,en
firewall for router,network_security,en
how to protect my wifi,network_security,en
protect my wireless network,network_security,en
network security software,network_security,en
home network protection,network_security,en
wifi security,network_security,en
router firewall,network_security,en
how to secure my home network,network_security,en
protect my office network,network_security,en
network firewall,network_security,en
how to set up firewall,network_security,en
my wifi is not secure,network_security,en
wireless network protection,network_security,en
jak usunąć wirusa,malware_protection,pl
mam wirusa na komputerze,malware_protection,pl
jak chronić komputer przed wirusami,malware_protection,pl
potrzebuję ochrony przed malware,malware_protection,pl
komputer został zainfekowany,malware_protection,pl
jak usunąć malware,malware_protection,pl
wirus na komputerze,malware_protection,pl
komputer ma wirusa,malware_protection,pl
jak usunąć trojana,malware_protection,pl
mam trojana,malware_protection,pl
program antymalware,malware_protection,pl
antywirus do usuwania wirusów,malware_protection,pl
usunięcie złośliwego oprogramowania,malware_protection,pl
złośliwe oprogramowanie,malware_protection,pl
jak chronić się przed wirusami,malware_protection,pl
komputer został zainfekowany wirusem,malware_protection,pl
mam ransomware,malware_protection,pl
jak usunąć ransomware,malware_protection,pl
ochrona przed ransomware,malware_protection,pl
jak pozbyć się malware,malware_protection,pl
how do I remove a virus,malware_protection,en
my computer has a virus,malware_protection,en
how can I protect my computer from malware,malware_protection,en
I need malware protection,malware_protection,en
my computer is infected,malware_protection,en
how to remove malware,malware_protection,en
virus on my computer,malware_protection,en
computer is infected,malware_protection,en
how to remove trojan,malware_protection,en
I have a trojan,malware_protection,en
antimalware software,malware_protection,en
antivirus to remove viruses,malware_protection,en
malware removal,malware_protection,en
malicious software,malware_protection,en
how to protect from viruses,malware_protection,en
computer infected with virus,malware_protection,en
I have ransomware,malware_protection,en
how to remove ransomware,malware_protection,en
ransomware protection,malware_protection,en
how to get rid of malware,malware_protection,en
jak zabezpieczyć hasła,password_security,pl
potrzebuję menedżera haseł,password_security,pl
menedżer haseł,password_security,pl
jak chronić moje hasła,password_security,pl
mam za słabe hasło,password_security,pl
jak tworzyć silne hasła,password_security,pl
wyciek moich haseł,password_security,pl
moje konto zostało zhakowane,password_security,pl
jak zresetować hasło,password_security,pl
jak chronić loginy,password_security,pl
przechowywanie haseł,password_security,pl
password manager,password_security,pl
bezpieczne hasła,password_security,pl
hashowanie haseł,password_security,pl
2fa,password_security,pl
uwierzytelnianie dwuskładnikowe,password_security,pl
jak włączyć 2fa,password_security,pl
hasło do poczty,password_security,pl
ktoś zna moje hasło,password_security,pl
jak zmienić hasło,password_security,pl
how to secure my passwords,password_security,en
I need a password manager,password_security,en
password vault,password_security,en
how to protect my passwords,password_security,en
my password is weak,password_security,en
how to create strong passwords,password_security,en
my passwords leaked,password_security,en
my account got hacked,password_security,en
how to reset my password,password_security,en
how to protect my logins,password_security,en
password storage,password_security,en
secure passwords,password_security,en
password hashing,password_security,en
two factor authentication,password_security,en
how to enable 2fa,password_security,en
email password,password_security,en
someone knows my password,password_security,en
how to change my password,password_security,en
password leak,password_security,en
I forgot my password,password_security,en
jak chronić prywatność,privacy,pl
ochrona prywatności online,privacy,pl
jak chronić moje dane osobowe,privacy,pl
ktoś śledzi mnie w internecie,privacy,pl
jak ukryć moją aktywność online,privacy,pl
vpn dla prywatności,privacy,pl
potrzebuję vpn,privacy,pl
anonimowość w sieci,privacy,pl
jak chronić się przed śledzeniem,privacy,pl
ochrona danych osobowych,privacy,pl
RODO,privacy,pl
prywatność w internecie,privacy,pl
aplikacja do ochrony prywatności,privacy,pl
bezpieczne przeglądanie internetu,privacy,pl
how to protect my privacy,privacy,en
online privacy protection,privacy,en
how to protect my personal data,privacy,en
someone is tracking me online,privacy,en
how to hide my online activity,privacy,en
VPN for privacy,privacy,en
I need a VPN,privacy,en
online anonymity,privacy,en
how to protect from tracking,privacy,en
personal data protection,privacy,en
GDPR,privacy,en
internet privacy,privacy,en
privacy protection app,privacy,en
safe browsing,privacy,en
cześć,general_query,pl
witaj,general_query,pl
dzień dobry,general_query,pl
pomóż,general_query,pl
co oferujecie,general_query,pl
jakie produkty macie,general_query,pl
co to za sklep,general_query,pl
kim jesteście,general_query,pl
potrzebuję pomocy,general_query,pl
hello,general_query,en
hi,general_query,en
good morning,general_query,en
help,general_query,en
what do you offer,general_query,en
what products do you have,general_query,en
what is this store,general_query,en
who are you,general_query,en
I need help,general_query,en
test,general_query,pl
